doc_id;path;nombre_doc;pb_drive;1stpb;2ndpb;3rdpb
a7b427c227f7;1 - Climate Change/SDG15/temp_batch/A New Tool for Separating the Magnetic Mineralogy of Complex Mineral Assemblages from Low Temperature Magnetic Behavior.pdf;A New Tool for Separating the Magnetic Mineralogy of Complex Mineral Assemblages from Low Temperature Magnetic Behavior.pdf;1;;;
44cb9ddc20a6;1 - Climate Change/No SDG/temp_batch/Arctic climate change_ observed and modelled temperature and sea-ice variability.pdf;Arctic climate change_ observed and modelled temperature and sea-ice variability.pdf;1;1;;
f529304c0629;1 - Climate Change/SDG15/The influence of landscape change on multiple dimensions of human–nature connectedness.pdf;The influence of landscape change on multiple dimensions of human–nature connectedness.pdf;1;;;
5194c7c1714e;1 - Climate Change/No SDG/temp_batch/Climate change and spring-fruiting fungi.pdf;Climate change and spring-fruiting fungi.pdf;1;1;;
dbde52e667aa;1 - Climate Change/No SDG/Climate Change in the North Pacific Using Ice-Rafted Detritus as a Climatic Indicator.pdf;Climate Change in the North Pacific Using Ice-Rafted Detritus as a Climatic Indicator.pdf;1;1;;
3f68844ce318;1 - Climate Change/SDG10/Discovery of Geospatial Discriminating Patterns from Remote Sensing Datasets.pdf;Discovery of Geospatial Discriminating Patterns from Remote Sensing Datasets.pdf;1;;;
733ba5fc919b;2 - Ocean Acidification/No SDG/temp_batch/Dissolved Oxygen and pH Dynamics Coupled to Photosynthesis in Huntington Bay, Western Long Island Sound.pdf;Dissolved Oxygen and pH Dynamics Coupled to Photosynthesis in Huntington Bay, Western Long Island Sound.pdf;2;2;7;
c6e6f6ecfc86;2 - Ocean Acidification/No SDG/temp_batch/Globally consistent assessment of coastal eutrophication.pdf;Globally consistent assessment of coastal eutrophication.pdf;2;4;;
777fe0df0d19;2 - Ocean Acidification/No SDG/temp_batch/How the Pacific Oyster Responds to Ocean Acidification_ Development and Application of a Meta-Analysis Based Adverse Outcome Pathway.pdf;How the Pacific Oyster Responds to Ocean Acidification_ Development and Application of a Meta-Analysis Based Adverse Outcome Pathway.pdf;2;2;;
958e8ae09926;2 - Ocean Acidification/No SDG/temp_batch/Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning.pdf;Warming Alters Expressions of Microbial Functional Genes Important to Ecosystem Functioning.pdf;2;1;;
d84d0ce7a4c8;2 - Ocean Acidification/No SDG/temp_batch/Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis.pdf;Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis.pdf;2;2;;
84915f5956b8;2 - Ocean Acidification/No SDG/temp_batch/Precision pH Sensor Based on WO3 Nanofiber-Polymer Composites and Differential Amplification.pdf;Precision pH Sensor Based on WO3 Nanofiber-Polymer Composites and Differential Amplification.pdf;2;;;
a31195146871;2 - Ocean Acidification/No SDG/temp_batch/Biogeochemical implications of decomposing jellyfish blooms in a changing climate.pdf;Biogeochemical implications of decomposing jellyfish blooms in a changing climate.pdf;2;2;1;
0866b31f11c4;2 - Ocean Acidification/SDG13/The Weird and the Meta in Jeff VanderMeer's Dead Astronauts.pdf;The Weird and the Meta in Jeff VanderMeer's Dead Astronauts.pdf;2;;;
66c76ad14a95;2 - Ocean Acidification/No SDG/Visualizing a Field of Research With Scientometrics_ Climate Change Associated With Major Aquatic Species Production in the World.pdf;Visualizing a Field of Research With Scientometrics_ Climate Change Associated With Major Aquatic Species Production in the World.pdf;2;1;;
afea8402003b;2 - Ocean Acidification/No SDG/Anthropogenic carbon and ocean pH.pdf;Anthropogenic carbon and ocean pH.pdf;2;2;;
bdf5eac988ad;2 - Ocean Acidification/No SDG/A circular economy approach to plastic waste.pdf;A circular economy approach to plastic waste.pdf;2;8;;
6d34726fa878;2 - Ocean Acidification/No SDG/temp_batch/Ocean acidification decreases plankton respiration_ evidence from a mesocosm experiment.pdf;Ocean acidification decreases plankton respiration_ evidence from a mesocosm experiment.pdf;2;2;;
82b2779f08ea;2 - Ocean Acidification/No SDG/temp_batch/Effects of Ocean Acidification and Temperature Increases on the Photosynthesis of Tropical Reef Calcified Macroalgae.pdf;Effects of Ocean Acidification and Temperature Increases on the Photosynthesis of Tropical Reef Calcified Macroalgae.pdf;2;2;1;
400a9242188e;2 - Ocean Acidification/No SDG/temp_batch/Progressive seawater acidification on the Great Barrier Reef continental shelf.pdf;Progressive seawater acidification on the Great Barrier Reef continental shelf.pdf;2;2;;
23aa02497362;2 - Ocean Acidification/No SDG/Carbonate system parameters of an algal-dominated reef along West Maui.pdf;Carbonate system parameters of an algal-dominated reef along West Maui.pdf;2;2;;
caa0f4f9200b;2 - Ocean Acidification/No SDG/temp_batch/Prey density in non-breeding areas affects adult survival of black-legged kittiwakes Rissa tridactyla.pdf;Prey density in non-breeding areas affects adult survival of black-legged kittiwakes Rissa tridactyla.pdf;2;1;;
7f1cc1191201;2 - Ocean Acidification/No SDG/temp_batch/Recoverable impacts of ocean acidification on the tubeworm, Hydroides elegans_ implication for biofouling in future coastal oceans.pdf;Recoverable impacts of ocean acidification on the tubeworm, Hydroides elegans_ implication for biofouling in future coastal oceans.pdf;2;2;;
e33a9f68417e;3 - Stratospheric Ozone Depletion/No SDG/Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf;Comparison of nitrous oxide (N<sub>2<_sub>O) analyzers for high-precision measurements of atmospheric mole fractions.pdf;3;;;
5b69b4b177c8;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/A vertically resolved, global, gap-free ozone database for assessing or constraining global climate model simulations.pdf;A vertically resolved, global, gap-free ozone database for assessing or constraining global climate model simulations.pdf;3;3;;
7d15d84ce20e;3 - Stratospheric Ozone Depletion/No SDG/Exposure to ultraviolet radiation delays photosynthetic recovery in Arctic kelp zoospores.pdf;Exposure to ultraviolet radiation delays photosynthetic recovery in Arctic kelp zoospores.pdf;3;3;;
3159c4d063f0;3 - Stratospheric Ozone Depletion/No SDG/Intensification and deepening of the Arabian Sea Oxygen Minimum Zone in response to increase in Indian monsoon wind intensity.pdf;Intensification and deepening of the Arabian Sea Oxygen Minimum Zone in response to increase in Indian monsoon wind intensity.pdf;3;1;4;
fc1441e078b0;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/A scientific algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor.pdf;A scientific algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor.pdf;3;;;
9cdd576a9db7;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Atmospheric chemistry and global change.pdf;Atmospheric chemistry and global change.pdf;3;3;;
358f64b8021b;3 - Stratospheric Ozone Depletion/SDG14/Rapid increase in ozone-depleting chloroform emissions from China.pdf;Rapid increase in ozone-depleting chloroform emissions from China.pdf;3;3;;
da697160487b;3 - Stratospheric Ozone Depletion/No SDG/Sensitivity of tracer transport to model resolution, prescribed meteorology and tracer lifetime in the general circulation model ECHAM5.pdf;Sensitivity of tracer transport to model resolution, prescribed meteorology and tracer lifetime in the general circulation model ECHAM5.pdf;3;;;
cab713fe6b41;3 - Stratospheric Ozone Depletion/No SDG/Built Environment and Wellbeing—Standards, Multi-Criteria Evaluation Methods, Certifications.pdf;Built Environment and Wellbeing—Standards, Multi-Criteria Evaluation Methods, Certifications.pdf;3;;;
de492b348258;3 - Stratospheric Ozone Depletion/No SDG/Building national emission inventories for the energy sector_ Implications for life cycle assessment and nations environmental footprinting.pdf;Building national emission inventories for the energy sector_ Implications for life cycle assessment and nations environmental footprinting.pdf;3;8;;
c95e30752adf;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Synthesizing the evidence of nitrous oxide mitigation practices in agroecosystems.pdf;Synthesizing the evidence of nitrous oxide mitigation practices in agroecosystems.pdf;3;3;1;
aac5539aa27b;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Decreased N2O reduction by low soil pH causes high N2O emissions in a riparian ecosystem.pdf;Decreased N2O reduction by low soil pH causes high N2O emissions in a riparian ecosystem.pdf;3;3;1;
080e222eec5e;3 - Stratospheric Ozone Depletion/No SDG/UAS Chromatograph for Atmospheric Trace Species (UCATS) – a versatile instrument for trace gas measurements on airborne platforms.pdf;UAS Chromatograph for Atmospheric Trace Species (UCATS) – a versatile instrument for trace gas measurements on airborne platforms.pdf;3;;;
042a9073a4dc;3 - Stratospheric Ozone Depletion/SDG13/Anticipating Climate Impacts of Major Volcanic Eruptions.pdf;Anticipating Climate Impacts of Major Volcanic Eruptions.pdf;3;1;3;9
074d00932720;3 - Stratospheric Ozone Depletion/No SDG/Polar stratospheric cloud evolution and chlorine activation measured by CALIPSO and MLS, and modeled by ATLAS.pdf;Polar stratospheric cloud evolution and chlorine activation measured by CALIPSO and MLS, and modeled by ATLAS.pdf;3;3;;
c4fb799a37fd;3 - Stratospheric Ozone Depletion/No SDG/temp_batch/Photoprotective and biotechnological potentials of cyanobacterial sheath pigment, scytonemin.pdf;Photoprotective and biotechnological potentials of cyanobacterial sheath pigment, scytonemin.pdf;3;3;;
c8b475531d7e;3 - Stratospheric Ozone Depletion/SDG14/temp_batch/Structure and long-term change in the zonal asymmetry in Antarctic total ozone during spring.pdf;Structure and long-term change in the zonal asymmetry in Antarctic total ozone during spring.pdf;3;3;;
7c0bf746ba69;4 - Biogeochemical Flows/No SDG/Enrichment, distribution and sources of heavy metals in the sediments of Deception Bay, Queensland, Australia.pdf;Enrichment, distribution and sources of heavy metals in the sediments of Deception Bay, Queensland, Australia.pdf;4;8;;
1b1615a2a91f;4 - Biogeochemical Flows/No SDG/Chars produced by slow pyrolysis and hydrothermal carbonization vary in carbon sequestration potential and greenhouse gases emissions.pdf;Chars produced by slow pyrolysis and hydrothermal carbonization vary in carbon sequestration potential and greenhouse gases emissions.pdf;4;1;;
410aff4dd954;4 - Biogeochemical Flows/No SDG/Anaerobic Methane Oxidation in a Landfill-Leachate Plume.pdf;Anaerobic Methane Oxidation in a Landfill-Leachate Plume.pdf;4;8;;
b9e1bf330baf;4 - Biogeochemical Flows/No SDG/Autotrophic and mixotrophic metabolism of an anammox bacterium revealed by in vivo 13C and 2H metabolic network mapping.pdf;Autotrophic and mixotrophic metabolism of an anammox bacterium revealed by in vivo 13C and 2H metabolic network mapping.pdf;4;4;;
a59af72ab39c;4 - Biogeochemical Flows/No SDG/Chemoautotrophy at Deep-Sea Vents_ Past, Present, and Future.pdf;Chemoautotrophy at Deep-Sea Vents_ Past, Present, and Future.pdf;4;4;;
5b0090a41d47;4 - Biogeochemical Flows/No SDG/Around one third of current Arctic Ocean primary production sustained by rivers and coastal erosion.pdf;Around one third of current Arctic Ocean primary production sustained by rivers and coastal erosion.pdf;4;4;;
6039788ff154;4 - Biogeochemical Flows/No SDG/Environmental mutagenesis during the end-Permian ecological crisis.pdf;Environmental mutagenesis during the end-Permian ecological crisis.pdf;4;3;;
9153f4dcf3d6;4 - Biogeochemical Flows/SDG13/The impact of initial and boundary conditions on severe weather event simulations using a high-resolution WRF model. Case study of the derecho event in Poland on 11 August 2017.pdf;The impact of initial and boundary conditions on severe weather event simulations using a high-resolution WRF model. Case study of the derecho event in Poland on 11 August 2017.pdf;4;;;
4b96859cedec;4 - Biogeochemical Flows/SDG13/The Only Commonality is Uncommonality_ Progressive Protest from the Mid-1980s, Globalization from Below, Environmental Devastation, Climate Change, and Questioning of Industrial Civilization.pdf;The Only Commonality is Uncommonality_ Progressive Protest from the Mid-1980s, Globalization from Below, Environmental Devastation, Climate Change, and Questioning of Industrial Civilization.pdf;4;;;
3c0c667b5363;4 - Biogeochemical Flows/No SDG/temp_batch/Molecular proxies as indicators of freshwater incursion-driven salinity stratification.pdf;Molecular proxies as indicators of freshwater incursion-driven salinity stratification.pdf;4;4;;
cf94a74b8764;4 - Biogeochemical Flows/No SDG/Abundance and activity of major groups of prokaryotic plankton in the coastal North Sea during spring and summer.pdf;Abundance and activity of major groups of prokaryotic plankton in the coastal North Sea during spring and summer.pdf;4;4;;
2ea3de6be731;4 - Biogeochemical Flows/No SDG/Dynamics of particulate organic matter d15N and d13C during spring phytoplankton blooms in a macrotidal ecosystem (Bay of Seine, France).pdf;Dynamics of particulate organic matter d15N and d13C during spring phytoplankton blooms in a macrotidal ecosystem (Bay of Seine, France).pdf;4;4;;
fa215acb1461;4 - Biogeochemical Flows/No SDG/Dissolved and particulate heavy metals distribution in coastal lagoons. A case study from Mar Chiquita Lagoon, Argentina.pdf;Dissolved and particulate heavy metals distribution in coastal lagoons. A case study from Mar Chiquita Lagoon, Argentina.pdf;4;8;;
35031d18c0c9;4 - Biogeochemical Flows/No SDG/temp_batch/Mesoscale eddies_ hotspots of prokaryotic activity and differential community structure in the ocean.pdf;Mesoscale eddies_ hotspots of prokaryotic activity and differential community structure in the ocean.pdf;4;4;;
e07e1529f98b;4 - Biogeochemical Flows/No SDG/How to study deep roots—and why it matters.pdf;How to study deep roots—and why it matters.pdf;4;;;
43d7b50de7d6;4 - Biogeochemical Flows/No SDG/Mechanisms of classical crystal growth theory explain quartz and silicate dissolution behavior.pdf;Mechanisms of classical crystal growth theory explain quartz and silicate dissolution behavior.pdf;4;;;
5a9dcdbf0366;4 - Biogeochemical Flows/No SDG/Model-Based Interpretation of Groundwater Arsenic Mobility during in Situ Reductive Transformation of Ferrihydrite.pdf;Model-Based Interpretation of Groundwater Arsenic Mobility during in Situ Reductive Transformation of Ferrihydrite.pdf;4;8;;
f191a837275d;4 - Biogeochemical Flows/No SDG/temp_batch/Seasonal distribution of dissolved inorganic carbon and net community production on the Bering Sea shelf.pdf;Seasonal distribution of dissolved inorganic carbon and net community production on the Bering Sea shelf.pdf;4;4;;
6c517c5bda80;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Proxies and Measurement Techniques for Mineral Dust in Antarctic Ice Cores.pdf;Proxies and Measurement Techniques for Mineral Dust in Antarctic Ice Cores.pdf;9;1;;
56c7d6d62d7c;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Dust Aerosol Characteristics and Shortwave Radiative Impact at a Gobi Desert of Northwest China during the Spring of 2012.pdf;Dust Aerosol Characteristics and Shortwave Radiative Impact at a Gobi Desert of Northwest China during the Spring of 2012.pdf;9;9;1;
0672168600bf;9 - Atmospheric Aerosol Loading/No SDG/Aircraft measurements of aerosol and trace gas chemistry in the eastern North Atlantic.pdf;Aircraft measurements of aerosol and trace gas chemistry in the eastern North Atlantic.pdf;9;9;1;
260cc6707374;9 - Atmospheric Aerosol Loading/No SDG/Atmospheric deposition of organic matter at a remote site in the central Mediterranean Sea_ implications for the marine ecosystem.pdf;Atmospheric deposition of organic matter at a remote site in the central Mediterranean Sea_ implications for the marine ecosystem.pdf;9;9;6;
a2d7c6427ea6;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Atmospheric nitrous acid (HONO) at a rural coastal site in North China_ Seasonal variations and effects of biomass burning.pdf;Atmospheric nitrous acid (HONO) at a rural coastal site in North China_ Seasonal variations and effects of biomass burning.pdf;9;9;;
7e7db277fd49;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/SO2 Emission Estimates Using OMI SO2 Retrievals for 2005–2017.pdf;SO2 Emission Estimates Using OMI SO2 Retrievals for 2005–2017.pdf;9;9;1;
ea1c763936e6;9 - Atmospheric Aerosol Loading/No SDG/A Simplified and Robust Surface Reflectance Estimation Method (SREM) for Use over Diverse Land Surfaces Using Multi-Sensor Data.pdf;A Simplified and Robust Surface Reflectance Estimation Method (SREM) for Use over Diverse Land Surfaces Using Multi-Sensor Data.pdf;9;;;
edcffe92f4f7;9 - Atmospheric Aerosol Loading/No SDG/Variations in atmospheric PM trace metal content in Spanish towns_ Illustrating the chemical complexity of the inorganic urban aerosol cocktail.pdf;Variations in atmospheric PM trace metal content in Spanish towns_ Illustrating the chemical complexity of the inorganic urban aerosol cocktail.pdf;9;9;;
d1fc7e47a220;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Loading-dependent elemental composition of ?-pinene SOA particles.pdf;Loading-dependent elemental composition of ?-pinene SOA particles.pdf;9;9;;
b9283c8bb52e;9 - Atmospheric Aerosol Loading/No SDG/Temporal Variability and Characterization of Aerosols across the Pakistan Region during the Winter Fog Periods.pdf;Temporal Variability and Characterization of Aerosols across the Pakistan Region during the Winter Fog Periods.pdf;9;9;1;
08f457a29ab7;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Reactive Halogens in the Marine Boundary Layer (RHaMBLe)_ the tropical North Atlantic experiments.pdf;Reactive Halogens in the Marine Boundary Layer (RHaMBLe)_ the tropical North Atlantic experiments.pdf;9;9;;
bd9f05de8774;9 - Atmospheric Aerosol Loading/No SDG/Origin of dimethylsulfide, non?sea?salt sulfate, and methanesulfonic acid in eastern Antarctica.pdf;Origin of dimethylsulfide, non?sea?salt sulfate, and methanesulfonic acid in eastern Antarctica.pdf;9;;;
9164ad05c489;9 - Atmospheric Aerosol Loading/No SDG/Radiative characteristics of aerosol during extreme fire event over Siberia in summer 2012.pdf;Radiative characteristics of aerosol during extreme fire event over Siberia in summer 2012.pdf;9;9;1;
ad9445fe976c;9 - Atmospheric Aerosol Loading/No SDG/temp_batch/Hygroscopic properties of aerosol particles at high relative humidity and their diurnal variations in the North China Plain.pdf;Hygroscopic properties of aerosol particles at high relative humidity and their diurnal variations in the North China Plain.pdf;9;9;;
89c5bea6f4b6;9 - Atmospheric Aerosol Loading/SDG6/Flowing Gas Experiments Reveal Mechanistic Details of Interfacial Reactions on a Molecular Level at Knudsen Flow Conditions.pdf;Flowing Gas Experiments Reveal Mechanistic Details of Interfacial Reactions on a Molecular Level at Knudsen Flow Conditions.pdf;9;;;
4f22542e7388;9 - Atmospheric Aerosol Loading/No SDG/A suite of early Eocene (~ 55 Ma) climate model boundary conditions.pdf;A suite of early Eocene (~ 55 Ma) climate model boundary conditions.pdf;9;;;
496666e9b6da;9 - Atmospheric Aerosol Loading/SDG14/Incorporation of advanced aerosol activation treatments into CESM_CAM5_ model evaluation and impacts on aerosol indirect effects.pdf;Incorporation of advanced aerosol activation treatments into CESM_CAM5_ model evaluation and impacts on aerosol indirect effects.pdf;9;1;9;
455162266eca;8 - Novel Entities/No SDG/Attention Please! A Hybrid Resource Recommender Mimicking Attention-Interpretation Dynamics.pdf;Attention Please! A Hybrid Resource Recommender Mimicking Attention-Interpretation Dynamics.pdf;8;;;
e8ac38dcd4f6;8 - Novel Entities/No SDG/Text Classification Algorithms_ A Survey.pdf;Text Classification Algorithms_ A Survey.pdf;8;;;
e727426383d4;8 - Novel Entities/SDG15/Sensitivity of Pollutant Concentrations to the Turbulence Schemes of a Dispersion Modelling Chain over Complex Orography.pdf;Sensitivity of Pollutant Concentrations to the Turbulence Schemes of a Dispersion Modelling Chain over Complex Orography.pdf;8;9;1;
fd7c9736c65e;8 - Novel Entities/No SDG/temp_batch/Current and Emerging Themes in the Structural Analysis of Viral RNA Genomes_ Applications for the Development of Novel Therapeutic Drugs.pdf;Current and Emerging Themes in the Structural Analysis of Viral RNA Genomes_ Applications for the Development of Novel Therapeutic Drugs.pdf;8;;;
3d6573117d0b;8 - Novel Entities/SDG15/Oecumene_ Repositioning Ourselves in Our Habitat.pdf;Oecumene_ Repositioning Ourselves in Our Habitat.pdf;8;7;1;
eac718b2695f;8 - Novel Entities/No SDG/Exploiting Graphic Card Processor Technology to Accelerate Data Mining Queries in SAP NetWeaver BIA.pdf;Exploiting Graphic Card Processor Technology to Accelerate Data Mining Queries in SAP NetWeaver BIA.pdf;8;;;
4c59c898e3d7;8 - Novel Entities/No SDG/Progressive Sarcopenia Correlates with Poor Response and Outcome to Immune Checkpoint Inhibitor Therapy.pdf;Progressive Sarcopenia Correlates with Poor Response and Outcome to Immune Checkpoint Inhibitor Therapy.pdf;8;;;
b98dbc59db77;8 - Novel Entities/No SDG/On Organizational Becoming_ Rethinking Organizational Change.pdf;On Organizational Becoming_ Rethinking Organizational Change.pdf;8;;;
0b7a68d1a06a;8 - Novel Entities/SDG13/A diagnostic interface for the ICOsahedral Non-hydrostatic (ICON) modelling framework based on the Modular Earth Submodel System (MESSy v2.50).pdf;A diagnostic interface for the ICOsahedral Non-hydrostatic (ICON) modelling framework based on the Modular Earth Submodel System (MESSy v2.50).pdf;8;1;;
762d789f17fe;8 - Novel Entities/No SDG/The transcriptomes of novel marmoset monkey embryonic stem cell lines reflect distinct genomic features.pdf;The transcriptomes of novel marmoset monkey embryonic stem cell lines reflect distinct genomic features.pdf;8;;;
73261bea95b6;8 - Novel Entities/No SDG/temp_batch/Rare Titin (TTN) Variants in Diseases Associated with Sudden Cardiac Death.pdf;Rare Titin (TTN) Variants in Diseases Associated with Sudden Cardiac Death.pdf;8;;;
bb87293d7644;8 - Novel Entities/SDG13/20 Years of global climate change governance research_ taking stock and moving forward.pdf;20 Years of global climate change governance research_ taking stock and moving forward.pdf;8;1;;
366136a3d081;8 - Novel Entities/No SDG/ACO-BTM_ A Behavior Trust Model in Cloud Computing Environment.pdf;ACO-BTM_ A Behavior Trust Model in Cloud Computing Environment.pdf;8;;;
6f01ecadd134;8 - Novel Entities/No SDG/Bioinformatic workflow fragment discovery leveraging the social-aware knowledge graph.pdf;Bioinformatic workflow fragment discovery leveraging the social-aware knowledge graph.pdf;8;;;
86f81d458b73;8 - Novel Entities/No SDG/temp_batch/Reform.pdf;Reform.pdf;8;;;
920f794e4330;8 - Novel Entities/No SDG/Finding interesting correlations with conditional heavy hitters.pdf;Finding interesting correlations with conditional heavy hitters.pdf;8;;;
5aaab1fa33a3;8 - Novel Entities/SDG14/Observations and regional modeling of aerosol optical properties, speciation and size distribution over Northern Africa and western Europe.pdf;Observations and regional modeling of aerosol optical properties, speciation and size distribution over Northern Africa and western Europe.pdf;8;9;;
cb831c750a69;7 - Biosphere Integrity/SDG15/Extinct flagships_ linking extinct and threatened species.pdf;Extinct flagships_ linking extinct and threatened species.pdf;7;7;;
8a3d4a75e493;7 - Biosphere Integrity/No SDG/The need of an ethics of planetary sustainability.pdf;The need of an ethics of planetary sustainability.pdf;7;;;
915bef103e53;7 - Biosphere Integrity/SDG15/Influence of contemporary warming on landscape-zonal systems of the East-European sub-continent_ Predictive empirical-statistical modeling.pdf;Influence of contemporary warming on landscape-zonal systems of the East-European sub-continent_ Predictive empirical-statistical modeling.pdf;7;5;7;
6adf36ff1a69;7 - Biosphere Integrity/No SDG/Alleviate The Adverse Effects Of Some Heavy Metals And Improve Quality And Storability Of Tomato And Kidney Bean Plants Grown Under Pollution Conditions.pdf;Alleviate The Adverse Effects Of Some Heavy Metals And Improve Quality And Storability Of Tomato And Kidney Bean Plants Grown Under Pollution Conditions.pdf;7;8;;
a0bf6d5dbb2a;7 - Biosphere Integrity/No SDG/temp_batch/Survival of the fittest author.pdf;Survival of the fittest author.pdf;7;7;;
b04f1061de65;7 - Biosphere Integrity/No SDG/temp_batch/The meaning of life together and inter-relationship in business.pdf;The meaning of life together and inter-relationship in business.pdf;7;;;
b2f5c867cc6d;7 - Biosphere Integrity/SDG13/Innovations and limits in methods of forecasting global environmental change.pdf;Innovations and limits in methods of forecasting global environmental change.pdf;7;1;;
42c958306230;7 - Biosphere Integrity/No SDG/temp_batch/An evaluation of soil retention potential as an important factor of water balance in the landscape.pdf;An evaluation of soil retention potential as an important factor of water balance in the landscape.pdf;7;6;5;
0f11125f1b80;7 - Biosphere Integrity/No SDG/temp_batch/A Large Drop in Atmospheric 14 C_ 12 C and Reduced Melting in the Younger Dryas, Documented with 230 Th Ages of Corals.pdf;A Large Drop in Atmospheric 14 C_ 12 C and Reduced Melting in the Younger Dryas, Documented with 230 Th Ages of Corals.pdf;7;1;;
1710172c2f61;7 - Biosphere Integrity/No SDG/Reports and Discussions.pdf;Reports and Discussions.pdf;7;;;
21ecc353ac74;7 - Biosphere Integrity/No SDG/A Rights Turn in Biodiversity Litigation_.pdf;A Rights Turn in Biodiversity Litigation_.pdf;7;7;;
1abd6b3d8d8b;7 - Biosphere Integrity/No SDG/‘Rapid Scenario Planning’ to Support a Regional Sustainability Transformation Vision_ A Case Study from Blekinge, Sweden.pdf;‘Rapid Scenario Planning’ to Support a Regional Sustainability Transformation Vision_ A Case Study from Blekinge, Sweden.pdf;7;;;
eb62900f32b4;7 - Biosphere Integrity/No SDG/Preliminary thoughts on the application of thermodynamics to the development of sustainability criteria.pdf;Preliminary thoughts on the application of thermodynamics to the development of sustainability criteria.pdf;7;1;;
e034eae8c2fd;7 - Biosphere Integrity/No SDG/Principles Of Higher Education Development In Works Of Russian Philosophers And Scientists Of 20th Century.pdf;Principles Of Higher Education Development In Works Of Russian Philosophers And Scientists Of 20th Century.pdf;7;;;
a4069cbc6d6b;7 - Biosphere Integrity/No SDG/Seasonal Boundary Dynamics Of A Groundwater Surface Water Ecotone.pdf;Seasonal Boundary Dynamics Of A Groundwater Surface Water Ecotone.pdf;7;5;7;
d0182fe4df8d;7 - Biosphere Integrity/No SDG/Adverse Effects_ Thirteen Homeowners Near A Blasting Quarry Bought Out By Quarry Owner.pdf;Adverse Effects_ Thirteen Homeowners Near A Blasting Quarry Bought Out By Quarry Owner.pdf;7;;;
